Item1,Item2
11.961952,637933896563286016
12.110688,637933896564716928
12.469888,637933896568305280
12.61904,637933896569797760
13.699168,637933896580597760
13.855488,637933896582167296
14.492096,637933896588529920
14.668576,637933896590300032
14.960032,637933896593209856
15.155744,637933896595168384
15.61312,637933896599740800
15.726944,637933896600880000
16.288064,637933896606490240
16.446848,637933896608080768
17.049152,637933896614101760
17.164,637933896615251456
17.43456,637933896617961344
17.569568,637933896619311104
17.697248,637933896620581248
17.811104,637933896621721344
17.843328,637933896622041984
17.974912,637933896623364736
18.175424,637933896625363072
18.280544,637933896626422912
18.38752,637933896627491456
18.46096,637933896628223488
18.531168,637933896628922496
18.618464,637933896629803136
18.718944,637933896630802176
18.79776,637933896631592704
18.88864,637933896632503552
18.969792,637933896633313408
19.08288,637933896634443136
19.15696,637933896635182464
19.269376,637933896636303616
19.353664,637933896637154560
19.442048,637933896638033280
19.51696,637933896638784000
19.6104,637933896639715584
19.679904,637933896640414208
19.814528,637933896641763584
19.952416,637933896643144704
20.34528,637933896647063680
20.432512,637933896647946240
20.563776,637933896649254016
20.652992,637933896650144768
21.048544,637933896654104576
21.1336,637933896654956416
21.300224,637933896656614656
21.377824,637933896657399296
21.507104,637933896658685440
21.585536,637933896659476224
21.706016,637933896660675840
21.784512,637933896661466496
21.89056,637933896662526080
21.975168,637933896663365120
22.080576,637933896664427520
22.158688,637933896665208192
22.281536,637933896666436608
22.38016,637933896667416960
23.128384,637933896674897792
23.186528,637933896675486848
23.544608,637933896679067904
23.628768,637933896679908224
23.750976,637933896681127424
23.82576,637933896681877504
23.915232,637933896682767360
24.005472,637933896683678848
24.116416,637933896684787072
24.187328,637933896685488000
24.294432,637933896686568448
24.392384,637933896687538688
24.610144,637933896689719040
24.745408,637933896691079040
24.988672,637933896693509120
25.076992,637933896694389248
25.1624,637933896695239424
25.257504,637933896696199936
25.339136,637933896697009536
25.434848,637933896697968512
25.512736,637933896698750080
25.62512,637933896699869696
25.921408,637933896702830464
26.027392,637933896703899008
26.2432,637933896706049280
26.332992,637933896706950144
26.469568,637933896708320896
26.526816,637933896708889600
26.647968,637933896710099328
26.731424,637933896710941184
26.885344,637933896712471680
26.99392,637933896713560448
27.209088,637933896715713536
27.298848,637933896716612096
27.384256,637933896717462016
27.481344,637933896718432000
27.573632,637933896719361536
27.6704,637933896720332544
27.759168,637933896721213056
27.87104,637933896722333440
27.95936,637933896723212672
28.072672,637933896724353280
28.295808,637933896726583040
28.394784,637933896727573120
28.676416,637933896730383232
28.7568,637933896731193728
28.885184,637933896732472960
28.936032,637933896732983040
29.071936,637933896734343040
29.117344,637933896734794368
29.248416,637933896736106240
29.30208,637933896736643328
29.412192,637933896737743872
29.502848,637933896738648064
29.619744,637933896739822720
29.703296,637933896740653568
29.819744,637933896741823360
29.876928,637933896742395136
30.0088,637933896743713536
30.071936,637933896744343808
30.594304,637933896749565056
30.656928,637933896750194304
30.790496,637933896751534336
30.862784,637933896752254848
30.97088,637933896753334272
31.046816,637933896754094464
31.185472,637933896755484416
31.220064,637933896755823744
31.326464,637933896756886144
31.407072,637933896757695360
31.509088,637933896758715520
31.587232,637933896759494912
31.682752,637933896760455808
